# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;2.495088191269065005e-15;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;0.000000000000000000e+00;-6.685568658951123177e-16;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.791392723108682766e-16;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;0.000000000000000000e+00;-4.800022334839679892e-17;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.286162108271639381e-17;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00;-3.446260982468961217e-18;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;3.964995321161443772e-36;9.234228471594468200e-19;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;7.929990642322878523e-37;0.000000000000000000e+00;-2.474304061688215849e-19;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;-3.964995321161440431e-36;6.629877751584048241e-20;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;0.000000000000000000e+00;0.000000000000000000e+00;-1.776470389454012209e-20;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;4.760038062320043575e-21;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.100000000000000089e+00;0.000000000000000000e+00;0.000000000000000000e+00;-1.275448354740062928e-21;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.200000000000000178e+00;0.000000000000000000e+00;0.000000000000000000e+00;3.417553566402039975e-22;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.300000000000000044e+00;0.000000000000000000e+00;-7.863933677416822985e-40;-9.157307182075298002e-23;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.400000000000000133e+00;-1.572786735483366759e-40;3.492288093117338030e-54;2.453693064280794908e-23;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.500000000000000000e+00;0.000000000000000000e+00;7.863933677416860506e-40;-6.574650750478853759e-24;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.600000000000000089e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.761672359107484693e-24;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.700000000000000178e+00;0.000000000000000000e+00;0.000000000000000000e+00;-4.720386859510817969e-25;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.800000000000000044e+00;0.000000000000000000e+00;-1.345246525751821521e-42;1.264823846968404748e-25;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.900000000000000133e+00;-2.690493051503648776e-43;5.974094666746689247e-57;-3.389085283628109517e-26;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;2.000000000000000000e+00;0.000000000000000000e+00;1.345246525751830123e-42;9.081026648283524194e-27;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.100000000000000089e+00;0.000000000000000000e+00;0.000000000000000000e+00;-2.433253756853076944e-27;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.200000000000000178e+00;0.000000000000000000e+00;0.000000000000000000e+00;6.519883791287774830e-28;4.000000000000000000e+00;0.000000000000000000e+00
