# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;4.642589924104120392e-08;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;0.000000000000000000e+00;-2.431280977116677777e-07;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;0.000000000000000000e+00;9.260864915086542229e-07;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;0.000000000000000000e+00;-3.461217869674266091e-06;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.291878496836373922e-05;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00;-4.821392226581065109e-05;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.799369004367454359e-04;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;0.000000000000000000e+00;0.000000000000000000e+00;-6.715337299891835582e-04;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;0.000000000000000000e+00;2.506197292995608616e-03;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;0.000000000000000000e+00;-8.944667923005414662e-18;-9.353264363610927848e-03;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;-1.788933584601082316e-18;1.745332522217699035e-03;3.490667364956884927e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.099999390762534945e+00;3.490657955613851813e-04;6.981331332449994959e-03;7.916679206201579500e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.199993907675906968e+00;1.396246417909376451e-03;1.396266258616415783e-02;6.730734555011340381e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.299978677128904581e+00;3.141490564280079514e-03;2.094399343081640094e-02;7.048490755230610305e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.399948825984945966e+00;5.584713356219459142e-03;2.792532479410412757e-02;6.963356273174568789e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.499899481820302416e+00;8.725795635125467575e-03;3.490665590885530523e-02;6.986164640300930595e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.599825773161203113e+00;1.256458433762265396e-02;4.188798711957333193e-02;6.980054342999508776e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.699722829721412198e+00;1.710089235584252160e-02;4.886931829670487781e-02;6.981691193632548476e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.799585782639548048e+00;2.233449859887505148e-02;5.585064948493197873e-02;6.981252728992026757e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.899409764716403881e+00;2.826514798607967019e-02;6.283198066962614181e-02;6.981370175114130772e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;1.999189910652163116e+00;3.489255146511052036e-02;6.981331185541909956e-02;6.981338717858082132e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.098921357283529243e+00;4.221638602426764503e-02;7.679464304087856019e-02;6.981347143037305858e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.198599243820751781e+00;5.023629470876277842e-02;8.377597422643782987e-02;6.981344886692422702e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.298218712084533433e+00;5.895188663796790268e-02;9.075730541196042056e-02;6.981345490852461366e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.397774906742813350e+00;6.836273702450121337e-02;9.773863659750249566e-02;6.981345329185821569e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.497262975547408281e+00;7.846838719493423597e-02;1.047199677830489284e-01;6.981345372399910820e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.596678069570508285e+00;8.926834461212959648e-02;1.117012989685725738e-01;6.981345360823570934e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.700000000000000178e+00;2.696015343441005019e+00;1.007620828992613765e-01;1.186826301541058643e-01;6.981345363948564253e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.800000000000000266e+00;2.795269955580648613e+00;1.129490418654672534e-01;1.256639613396489108e-01;6.981345363126865988e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.900000000000000355e+00;2.894437068440022909e+00;1.258286275331481074e-01;1.326452925251826731e-01;6.981345363299391871e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000000e+00;2.993511848734321301e+00;1.394002121669173366e-01;1.396266237107214314e-01;6.981345363309954255e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.100000000000000089e+00;3.092489467678912529e+00;1.536631343042030307e-01;1.466079548962634926e-01;6.981345363276203475e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.200000000000000178e+00;3.191365101224694190e+00;1.686166987874763434e-01;1.535892860817885675e-01;6.981345363256814818e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.300000000000000266e+00;3.290133930293206443e+00;1.842601767981398020e-01;1.605706172673253829e-01;6.981345363320724806e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.400000000000000355e+00;3.388791141011510355e+00;2.005928058920510848e-01;1.675519484528654457e-01;6.981345363262468628e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000000e+00;3.487331924946809991e+00;2.176137900366743039e-01;1.745332796383946561e-01;6.981345363278156080e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.600000000000000089e+00;3.585751479340811176e+00;2.353222996498868236e-01;1.815146108239382994e-01;6.981345363320680397e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.700000000000000178e+00;3.684045007343799139e+00;2.537174716404093644e-01;1.884959420094731719e-01;6.981345363250046621e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.800000000000000266e+00;3.782207718248432826e+00;2.727984094498659973e-01;1.954772731949967757e-01;6.981345363274600591e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.900000000000000355e+00;3.880234827723238134e+00;2.925641830964911261e-01;2.024586043805402524e-01;6.981345363324657771e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000000e+00;3.978121558045788042e+00;3.130138292204521222e-01;2.094399355660774009e-01;6.981345363241990565e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.100000000000000533e+00;4.075863138335570568e+00;3.341463511307959378e-01;2.164212667516179078e-01;6.981345363336252663e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.200000000000000178e+00;4.173454804786503658e+00;3.559607188540384604e-01;2.234025979371575821e-01;6.981345363251793834e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.299999999999999822e+00;4.270891800899128121e+00;3.784558691843502021e-01;2.303839291226834618e-01;6.981345363275666405e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.400000000000000355e+00;4.368169377712429302e+00;4.016307057353884491e-01;2.373652603082244128e-01;6.981345363317130459e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.500000000000000000e+00;4.465282794035294600e+00;4.254840989937284101e-01;2.443465914937633376e-01;6.981345363267681126e-02;4.000000000000000000e+00;0.000000000000000000e+00
