# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
9.000000000000000222e-01,-7.444625512977249074e-24,4.000000000000000222e-01,4.000000000000000222e-01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.100000000000000089e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.300000000000000044e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.400000000000000133e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.600000000000000089e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.800000000000000044e+00,2.168404344971008868e-18,4.000000000000000222e-01,4.000000000000000222e-01
1.899946433687134340e+00,-3.272446738410076609e-03,4.000000000000000222e-01,4.000000000000000222e-01
1.999464727563865729e+00,-1.307597361734108739e-02,4.000000000000000222e-01,4.000000000000000222e-01
2.098128578967652036e+00,-2.936836780751157089e-02,4.000000000000000222e-01,4.000000000000000222e-01
2.195515341923540920e+00,-5.207998821122575978e-02,4.000000000000000222e-01,4.000000000000000222e-01
2.291207843128458599e+00,-8.111348054656995765e-02,4.000000000000000222e-01,4.000000000000000222e-01
2.384796166118727356e+00,-1.163444985623665329e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.475879408364599410e+00,-1.576221155872821467e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.564067398202892534e+00,-2.047695141089774518e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.648982366343939798e+00,-2.575847288268675594e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.730260564071588458e+00,-3.158415164201103242e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.807553821440379682e+00,-3.792903232623601739e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.880531038721526382e+00,-4.476593548704101422e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.948879604726700521e+00,-5.206557400527597190e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.012306735948251823e+00,-5.979667855159468415e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.070540730695662912e+00,-6.792613153320610220e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.123332133199463012e+00,-7.641910895923949010e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.170454801322859950e+00,-8.523922961637357965e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.211706878764244877e+00,-9.434871091112618791e-01,4.000000000000000222e-01,4.000000000000000222e-01
3.246911645981107153e+00,-1.037085307314459248e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.275918331448580911e+00,-1.132785945538426375e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.298602544307585926e+00,-1.230179073967541337e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.314867643073763137e+00,-1.328847486412993995e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.324641880219348256e+00,-1.428368538341164395e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327891471238392462e+00,-1.528315836936506855e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327886382410600863e+00,-1.628315788775365425e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327887721212372973e+00,-1.728315801913642868e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327887454833077463e+00,-1.828315797521675057e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327887181548486506e+00,-1.928315801951268948e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.327888541066146733e+00,-2.028315788624863281e+00,4.000000000000000222e-01,4.000000000000000222e-01
