# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;-1.449479175355221736e-11;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;0.000000000000000000e+00;6.138610064245915365e-11;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;0.000000000000000000e+00;-2.310496108162274882e-10;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;0.000000000000000000e+00;8.628123426232376934e-10;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;0.000000000000000000e+00;-3.220199759665771337e-09;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.201798669619240116e-08;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;0.000000000000000000e+00;-4.485174702297895727e-08;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;0.000000000000000000e+00;0.000000000000000000e+00;1.673890014253187690e-07;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;-3.722312756488625712e-23;-6.247042582660858874e-07;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;-7.444625512977249074e-24;0.000000000000000000e+00;2.331428037380354413e-06;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;0.000000000000000000e+00;3.722312756488626888e-23;-8.701007811287973266e-06;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.100000000000000089e+00;0.000000000000000000e+00;0.000000000000000000e+00;3.247260432152309078e-05;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.200000000000000178e+00;0.000000000000000000e+00;0.000000000000000000e+00;-1.211893939596420978e-04;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.300000000000000044e+00;0.000000000000000000e+00;0.000000000000000000e+00;4.522851874800181337e-04;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.400000000000000133e+00;0.000000000000000000e+00;0.000000000000000000e+00;-1.687948340948127899e-03;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.500000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;6.299549804269696622e-03;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.600000000000000089e+00;0.000000000000000000e+00;0.000000000000000000e+00;-2.350965206231596383e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.700000000000000178e+00;0.000000000000000000e+00;1.084202172485505204e-17;8.774641051572135142e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.800000000000000044e+00;2.168404344971008868e-18;-1.636515606926856881e-02;-3.273222428472846168e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.899946433687134340e+00;-3.272446738410076609e-03;-6.546165127480754742e-02;-7.425397516349323546e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;1.999464727563865729e+00;-1.307597361734108739e-02;-1.309232367967843313e-01;-6.312961642086351022e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.098128578967652036e+00;-2.936836780751157089e-02;-1.963844890878048699e-01;-6.609660850062835102e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.195515341923540920e+00;-5.207998821122575978e-02;-2.618461628530305285e-01;-6.530821368721879683e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.291207843128458599e+00;-8.111348054656995765e-02;-3.273076369699328136e-01;-6.551671995885322008e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.384796166118727356e+00;-1.163444985623665329e-01;-3.927691869001656566e-01;-6.546181806207928000e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.475879408364599410e+00;-1.576221155872821467e-01;-4.582307108612639346e-01;-6.547620616274294481e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.564067398202892534e+00;-2.047695141089774518e-01;-5.236922431883986873e-01;-6.547245381865147706e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.700000000000000178e+00;2.648982366343939798e+00;-2.575847288268675594e-01;-5.891537729307624316e-01;-6.547342742010300309e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.800000000000000266e+00;2.730260564071588458e+00;-3.158415164201103242e-01;-6.546153034474110344e-01;-6.547317596534906192e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.900000000000000355e+00;2.807553821440379682e+00;-3.792903232623601739e-01;-7.200768337366928451e-01;-6.547324143778553429e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000000e+00;2.880531038721526382e+00;-4.476593548704101422e-01;-7.855383640963300440e-01;-6.547322086601511382e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.100000000000000089e+00;2.948879604726700521e+00;-5.206557400527597190e-01;-8.509998944133064791e-01;-6.547324143325500279e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.200000000000000178e+00;3.012306735948251823e+00;-5.979667855159468415e-01;-9.164614248391036444e-01;-6.547317598425489438e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.300000000000000266e+00;3.070540730695662912e+00;-6.792613153320610220e-01;-9.819229548290616671e-01;-6.547342734617319637e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.400000000000000355e+00;3.123332133199463012e+00;-7.641910895923949010e-01;-1.047384486618883503e+00;-6.547245410493783835e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000000e+00;3.170454801322859950e+00;-8.523922961637357965e-01;-1.112846011025379500e+00;-6.547620506046709643e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.600000000000000089e+00;3.211706878764244877e+00;-9.434871091112618791e-01;-1.178307565465392059e+00;-6.546182228427321892e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.700000000000000178e+00;3.246911645981107153e+00;-1.037085307314459248e+00;-1.243768998701324957e+00;-6.551670386369224941e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.800000000000000266e+00;3.275918331448580911e+00;-1.132785945538426375e+00;-1.309230917465089572e+00;-6.530827475066233179e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.900000000000000355e+00;3.298602544307585926e+00;-1.230179073967541337e+00;-1.374690904759561905e+00;-6.609637778804885455e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000000e+00;3.314867643073763137e+00;-1.328847486412993995e+00;-1.440158525037852577e+00;-6.313048350732072267e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.100000000000000533e+00;3.324641880219348256e+00;-1.428368538341164395e+00;-1.505596169122117578e+00;-7.425072464556166096e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.200000000000000178e+00;3.327891471238392462e+00;-1.528315836936506855e+00;-1.554570960051438577e+00;-3.274434376774973399e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.299999999999999822e+00;3.327886382410600863e+00;-1.628315788775365425e+00;-1.570815076928276932e+00;8.819872461577747680e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.400000000000000355e+00;3.327887721212372973e+00;-1.728315801913642868e+00;-1.570790964682748481e+00;-2.519758086293209104e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.500000000000000000e+00;3.327887454833077463e+00;-1.828315797521675057e+00;-1.570799025114327119e+00;1.259912227285788638e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.600000000000000533e+00;3.327887181548486506e+00;-1.928315801951268948e+00;-1.570790895629306405e+00;-2.519758086292999549e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.700000000000000178e+00;3.327888541066146733e+00;-2.028315788624863281e+00;-1.570815354419419663e+00;8.819872461576869216e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.800000000000000711e+00;3.327883376022905182e+00;-2.128315837496681517e+00;-1.587302033802222567e+00;-3.274434376774653654e-01;4.000000000000000000e+00;0.000000000000000000e+00
