# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.000000000000000111e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
6.000000000000000888e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.000000000000000666e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
8.000000000000000444e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
9.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.099939050259900686e+00,3.490603079678719026e-03,4.000000000000000222e-01,4.000000000000000222e-01
1.199391008393250635e+00,1.394564805349790722e-02,4.000000000000000222e-01,4.000000000000000222e-01
1.297871160355577702e+00,3.131391422116950457e-02,4.000000000000000222e-01,4.000000000000000222e-01
1.394899524073593966e+00,5.551093320191288066e-02,4.000000000000000222e-01,4.000000000000000222e-01
1.490003195941312475e+00,8.641869289815166943e-02,4.000000000000000222e-01,4.000000000000000222e-01
1.582718651980042024e+00,1.238865817779188083e-01,4.000000000000000222e-01,4.000000000000000222e-01
1.672594008476550931e+00,1.677319759800617871e-01,4.000000000000000222e-01,4.000000000000000222e-01
1.759191223883360911e+00,2.177411816449944248e-01,4.000000000000000222e-01,4.000000000000000222e-01
1.842088233955318843e+00,2.736704589882872352e-01,4.000000000000000222e-01,4.000000000000000222e-01
1.920881008782876043e+00,3.352472158553059800e-01,4.000000000000000222e-01,4.000000000000000222e-01
1.995185522002119072e+00,4.021713345554494001e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.064639622487005610e+00,4.741166351332855022e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.128904799431357464e+00,5.507324649689966378e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.187667832208724406e+00,6.316454078642744774e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.240642316971609649e+00,7.164611040131957376e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.287570062548826666e+00,8.047661720678833674e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.328222348837747813e+00,8.961302239075343845e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.362401041558163328e+00,9.901079622979186423e-01,4.000000000000000222e-01,4.000000000000000222e-01
2.389939557934569692e+00,1.086241351215636142e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.410703678600282007e+00,1.184061848259802652e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.424592201766243793e+00,1.283092688270500492e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.431537436466182367e+00,1.382851207023962248e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.431505532474123932e+00,1.482851193679070478e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.424496645286254637e+00,1.582605260509637901e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.410544935363057473e+00,1.681627218372678367e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.389718401635391842e+00,1.779434446334936304e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.362118550086010682e+00,1.875550243908390424e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.327879899021792376e+00,1.969506154430228584e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.287169323447934666e+00,2.060844248263457246e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.240185241739553135e+00,2.149119354689939421e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.187156648574742679e+00,2.233901231618526051e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.128341998842480542e+00,2.314776662530938722e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.064027947965044074e+00,2.391351470454567085e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.994527954774480749e+00,2.463252439110066749e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.920180753752535496e+00,2.530129132009798720e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.841348704080134402e+00,2.591655600104815882e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.758416023542981321e+00,2.647531971717448585e+00,4.000000000000000222e-01,4.000000000000000222e-01
